comment,rating,Вопрос не решен,Вопрос решен,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии и предложения
"быстро отреагировали, достаточно быстро устранили течь. вечером сантехник ещё раз пришёл удостовериться, что все в порядке. спасибо",5.0,0,1,0,0,0,1,1,0,0
"да, спасибо! дверь починили.",5.0,0,1,0,0,0,0,0,1,0
спасибо. счетчик заработал,5.0,0,1,0,0,0,0,0,1,0
"отличная работа! быстро, качественно, аккуратно. спасибо большое)",5.0,0,1,0,0,0,1,1,1,0
"спасибо, быстро и оперативно!!!",5.0,0,0,0,0,0,1,0,0,0
счёт на 500 р все ещё в личном кабинете,5.0,1,0,0,0,0,0,0,0,0
спасибо за оперативность! все настроено,5.0,0,1,0,0,0,1,0,0,0
вчера мне сказали несколько диспетчеров что заявки не было о протечке с моего жк,5.0,0,0,0,0,0,0,0,0,1
всё оперативно исправили. молодцы.,5.0,0,0,0,0,0,1,0,1,0
"прильи быстро, спасибо",5.0,0,0,0,0,0,1,0,0,0
спасибо большое ! оперативно помогли решить вопрос .,5.0,0,1,0,0,0,1,0,0,0
оперативно решили вопрос.,5.0,0,1,0,0,0,1,0,0,0
ок. спасибо,5.0,0,1,0,0,0,0,0,0,0
хороший мужчина консультировал,5.0,0,0,0,0,1,0,0,0,0
очень удобно,5.0,0,1,0,0,0,0,0,1,0
спасибо большое  улыбающееся лицо с глазами. с уважением евгений!),5.0,0,1,0,0,0,0,0,0,0
сантехники приехали оперативно и устранили протечку в смесителе.  спасибо!,5.0,0,1,0,0,0,1,0,1,0
спасибо вам,5.0,0,1,0,0,0,0,0,0,0
"специалист отличный, вежливый и быстро сделал, я очень довольна.",5.0,0,1,0,0,1,1,1,1,0
"оперативно, спасибо!",5.0,0,0,0,0,0,1,0,0,0
все работает как надо! спасибо!,5.0,0,1,0,0,0,0,0,1,0
"быстро решили проблему , электрики пришли почти сразу после заявки , спасибо, большое",5.0,0,1,0,0,0,1,0,0,0
здравствуйте! спасибо огромное специалистам за быстрый ответ и решение нашей проблемы!,5.0,0,1,0,0,1,1,0,0,0
"спасибо мастеру, все быстро сделал",5.0,0,1,0,0,1,1,0,0,0
оперативно и быстро! супер всегда бы так,5.0,0,0,0,0,0,1,0,0,0
молодцы спасибо,5.0,0,0,0,0,0,0,0,1,0
устное разрешение на установку кодового замка получено.после установки сообщим код в управляющую компанию.спасибо,5.0,0,1,0,0,0,0,0,0,0
детализация предоставлена с 06.2024 была закащана с 01.2024. просьба выдать на все месяцы 2024 года,5.0,0,0,0,0,0,0,0,0,1
спасибо за оперативность),5.0,0,0,0,0,0,1,0,0,0
слишком часто ломаются лифты!,5.0,0,0,0,0,0,0,0,0,1
слишком часто ломаются лифты,5.0,0,0,0,0,0,0,0,0,1
все замечательно,5.0,0,1,0,0,1,1,1,1,0
спасибо большое за помощь в решении вопроса.,5.0,0,1,0,0,0,0,0,0,0
"на этот раз быстро отключили, спасибо!",5.0,0,1,0,0,0,1,0,0,0
спасибо за оперативный ответ,5.0,0,0,0,0,0,1,0,0,0
"оценка за оперативность — отлично, за уборку — хорошо. спасибо!",5.0,0,0,1,0,0,1,0,0,0
 палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх палец вверх,5.0,0,0,0,0,0,0,0,1,0
благодарю за оперативность.,5.0,0,0,0,0,0,1,0,0,0
"приходила в ук мне сказали за деньги купить себе новый ключ, на каком основании? выдали не рабочие и теперь платя 2500 за домофон я ещё и ключи должна покупать, соседям дали бесплатно",5.0,0,0,0,0,0,0,0,0,1
спасибо большое!!!!,5.0,0,1,0,0,0,0,0,0,0
оперативно!спасибо!,5.0,0,0,0,0,0,1,0,0,0
огромное спасибо! вопрос был решен быстро! специалист профессионал в своем деле!,5.0,0,1,0,0,1,1,1,1,0
починили,5.0,0,1,0,0,0,0,0,0,0
"спасибо, что быстро отреагировали. проблема решена.",5.0,0,1,0,0,0,1,0,0,0
спасибо большое оперативно,5.0,0,0,0,0,0,1,0,0,0
"приятно удивлена. вопрос решился менее чем за сутки! спасибо, так красиво теперь и ничего не отравляет воздух и не портит вид!!",5.0,0,0,0,0,0,1,1,1,0
все прекрасно спасибо,5.0,0,1,0,0,1,1,1,1,0
"спасибо, всё быстро устранено",5.0,0,1,0,0,0,1,0,0,0
"здорово что подсказали, не за что бы сам не догадался.",5.0,0,1,0,0,0,0,0,0,0
спасибо за оперативность.,5.0,0,0,0,0,0,1,0,0,0
спасибо куприянову и.и.!!!,5.0,0,0,0,0,1,0,0,0,0
большое спасибо!!,5.0,0,1,0,0,0,0,0,0,0
спасибо большое что есть специалисты в ук которым небезразлично!! спасибо куприянову и.и.,5.0,0,0,0,0,1,0,0,0,0
сами устранили,5.0,0,1,1,0,0,0,0,0,0
быстро исправили причину шума щитка. спасибо за оперативность,5.0,0,0,0,0,0,1,0,1,0
"спасибо большое за разъяснения,теперь все ясно и понятно.",5.0,0,1,0,0,0,0,0,1,0
оперативно отреагировали быстро сделали спасибо,5.0,0,1,0,0,0,1,0,0,0
"спасибо,скажите пожалуйста,на андроид откуда можно скачать данное приложение? не получается,пишет,что не поддерживается",5.0,0,0,0,0,0,0,0,0,1
молодцы,5.0,0,0,0,0,0,0,0,1,0
спасибо за скорость работы  палец вверх,5.0,0,0,0,0,0,1,0,0,0
"стулья привезли, а зеркало нет.",5.0,0,0,0,1,0,0,0,0,0
сантехник пришёл всё сделал,5.0,0,1,0,0,0,0,0,0,0
спасибо! александр все оперативно выполнил. очень внимательно и уважительно исполнил заказ.,5.0,0,1,0,0,1,1,1,1,0
отлично!,5.0,0,0,0,0,0,0,0,1,0
супер!,5.0,0,0,0,0,0,0,0,1,0
спасибо  красное сердце,5.0,0,1,0,0,0,0,0,0,0
"спасибо, жду перерасчет .",5.0,1,0,0,0,0,0,0,0,0
"очень оперативно решили вопрос, спасибо!",5.0,0,1,0,0,0,1,0,0,0
оперативно ),5.0,0,0,0,0,0,1,0,0,0
красавчеги!,5.0,0,0,0,0,1,0,0,1,0
спасибо! все устранено!,5.0,0,1,0,0,0,0,0,0,0
пришли очень оперативно !,5.0,0,0,0,0,0,1,0,0,0
мы сами устранили,5.0,0,1,1,0,0,0,0,0,0
отличный аккуратный специалист.,5.0,0,0,0,0,1,0,1,0,0
"всё было сделано быстро и качественно, огромное спасибо мастеру",5.0,0,1,0,0,1,1,1,1,0
супер мастер,5.0,0,0,0,0,1,0,0,0,0
мерси!,5.0,0,1,0,0,0,0,0,0,0
оперативно! спасибо!,5.0,0,0,0,0,0,1,0,0,0
спасибо большое за решение вопроса.,5.0,0,1,0,0,0,0,0,0,0
"спасибо, всё исправили",5.0,0,1,0,0,0,0,0,0,0
спасибо! все поняла,5.0,0,1,0,0,0,0,0,0,0
"жаль не с первого раза, звонков 8",5.0,0,1,1,0,0,0,0,0,0
отлично,5.0,0,0,0,0,0,0,0,1,0
"просьба очищать своевременн, не дожидаясь заявок",5.0,0,0,0,0,0,0,0,0,1
"мастер отключил колонку оповещения от сети, пищать перестала , но и оповещать не будет",5.0,0,1,1,1,0,0,0,0,0
нашли причину,5.0,0,1,0,0,0,0,0,0,0
"оперативно, удобно!",5.0,0,0,0,0,0,1,0,0,0
все отлично! выявили проблему.,5.0,0,1,0,0,0,0,0,1,0
"спасибо большое!!! всё очень оперативно! приятно, когда нас слышат и понимают. всего доброго!",5.0,0,1,0,0,0,1,1,1,0
всю ночь стоят палеты и стеллажи у подъезда,5.0,0,0,0,0,0,0,0,0,1
хорошо,5.0,0,0,0,0,0,0,0,1,0
ответа на вопрос нет,5.0,1,0,0,0,0,0,0,0,0
благодарю вас,5.0,0,1,0,0,0,0,0,0,0
"сантехник пришел в день об обращения, вопрос решен на месте, спасибо за оперативность.",5.0,0,1,0,0,0,1,0,0,0
быстро! спасибо!,5.0,0,0,0,0,0,1,0,0,0
"оперативно заменили и опломбировали, спасибо!",5.0,0,0,0,0,0,1,0,0,0
классно,5.0,0,0,0,0,0,0,0,1,0
ремонтные работы по данной заявке выполнены в полном объеме и в кратчайшие сроки.,5.0,0,0,0,0,0,1,0,1,0
всё сделали хорошо и быстро.,5.0,0,0,0,0,0,1,1,1,0
мне нужно присутствовать при съеме контрольных показаний? счетчики все в коридоре. возможно вызов в выход дни?,5.0,0,0,0,0,0,0,0,0,1
быстро и оперативно помогли решить вопрос!,5.0,0,1,0,0,0,1,0,0,0
большое спасибо!,5.0,0,1,0,0,0,0,0,0,0
"спасибо, быстро освободили",5.0,0,0,0,0,0,1,0,0,0
"электрик смог настроить свет в коридоре удаленно. с помощью отключения электричества в квартире. правда, после этого снова отвалился интернет и снова в пятницу придет монтажник настраивать роутер. а после прошлого посещения монтажника свет в коридоре и закончился...",5.0,0,1,0,0,0,0,0,0,0
спасибо !,5.0,0,1,0,0,0,0,0,0,0
"тяп-ляп, ну ладно, тут везде так",5.0,0,1,1,0,0,0,0,0,0
"спасибо, вижу счетчики в приложении",5.0,0,1,0,0,0,0,0,0,0
"сергей настоящий профи! все четко и по делу, очень рада, что именно ему досталась наша заявка, спасибо!",5.0,0,1,0,0,1,0,1,0,0
"очень вежливый, контактный мастер. только положительные впечатления от подхода к работе и ее выполнению.",5.0,0,1,0,0,1,0,1,1,0
а кто заявку подавал? я не подвала. или это автоматически,5.0,0,0,0,0,0,0,0,0,1
профессионал. все решили.,5.0,0,1,0,0,1,0,0,0,0
спасибо мастеру за работу,5.0,0,0,0,0,1,0,0,0,0
сантехник андрей качественно выполнил свою работу.,5.0,0,0,0,0,1,0,1,1,0
быстрое решение. спасибо руслану,5.0,0,0,0,0,1,1,0,0,0
"всё отлично, решили всё)",5.0,0,1,0,0,0,0,0,1,0
не вписан ещё один человек,5.0,0,0,0,0,0,0,0,0,1
"спасибо, за быстрое решение",5.0,0,1,0,0,0,1,0,0,0
спасибо большое за помощь,5.0,0,1,0,0,0,0,0,0,0
спасибо большое  слегка улыбающееся лицо палец вверх палец вверх палец вверх,5.0,0,1,0,0,0,0,0,0,0
очень часто ломается.,5.0,0,0,1,1,0,0,0,0,1
"спасибо, очень быстро решили вопрос по заявке!",5.0,0,1,0,0,0,1,0,0,0
"где можно посмотреть прайс на услуги ваших электриков? что за инкогнито цены, которые мне потом озвучивают?",5.0,0,0,0,0,0,0,0,0,1
"надо что то делать, родители говорят что больше не придут в гости, потому что лифт постоянно не работает!",5.0,0,0,0,0,0,0,0,0,1
"ну надо что то делать... как быть дальше, если постоянно лифт выходит из строя!",5.0,0,0,0,0,0,0,0,0,1
"давайте уде чинить грузовой лифт, его про отключили и не чинят, очередь га лифт. и пассажирский лифт ломается раз в два дня..... делайте уже что нибудь,  .  ...... ......",5.0,0,0,0,0,0,0,0,0,1
все ок,5.0,0,1,0,0,0,0,0,0,0
быстро отреагировали!,5.0,0,0,0,0,0,1,0,0,0
"сняла одну звезду за молчаливое закрытие заявки. а так, действительно, пришла домой, свет уже был.",5.0,0,1,1,0,0,0,0,0,1
не отображаются счета на оплату,5.0,0,0,0,0,0,0,0,0,1
"большое спасибо, все починили очень оперативно!",5.0,0,1,0,0,0,1,0,0,0
все отлично спасибо,5.0,0,0,0,0,0,0,0,1,0
очень оперативно.,5.0,0,0,0,0,0,1,0,0,0
"благодарю ростислава, быстро и качественно заменил резинку манжету в стиральной машине.",5.0,0,1,0,0,1,1,1,1,0
"прекрасный мастер. все оперативно решил, благодарю !",5.0,0,1,0,0,1,1,0,0,0
спасибо за быстрое реагирование,5.0,0,0,0,0,0,1,0,0,0
"здравствуйте, когда будет видна оплата? платили по реквизитам",5.0,0,0,0,0,0,0,0,0,1
спасибо за оперативность за быструю обратную связь,5.0,0,0,0,0,0,1,0,0,0
сегодня после обеда буду по данному адрпесу прошу электрика связаться со мной,5.0,1,0,0,0,0,0,0,0,0
"быстро, оперативно, сотрудник прибыл как по таймеру. спасибо!",5.0,0,0,0,0,0,1,0,0,0
"долго ехали, сигнализация орала несколько часов. невозможно нормально работать и жить, когда под ухом без перерыва несколько часов голосит сигнализация",5.0,0,1,1,0,0,0,0,0,1
благодарю! вопрос был оперативно решен,5.0,0,1,0,0,0,1,0,0,0
оперативно и качественно!,5.0,0,0,0,0,0,1,1,0,0
"все четко сделал,",5.0,0,1,0,0,0,0,0,1,0
"доводчик заменили в тот же день, спасибо.",5.0,0,1,0,0,0,1,0,0,0
быстро и качественно,5.0,0,0,0,0,0,1,1,0,0
счет оплачен ! квитанция выслана  вам в чате,5.0,0,1,0,0,0,0,0,0,0
оперативно все исправили.,5.0,0,1,0,0,0,1,0,0,0
"спасибо мастеру, починил всё быстро и профессионально,  поставил новый доводчик. дверь теперь закрывается, теплопотерь нет.",5.0,0,1,0,0,1,1,1,1,0
спасибо за оперативный ответ!,5.0,0,0,0,0,0,1,0,0,0
"спасибо большое что услышали, убрали возле 38/1 мусор.теперь хоть рядом с банками бросать не будут люди мусор!",5.0,0,1,0,0,0,0,0,1,0
спасибо палец вверх,5.0,0,1,0,0,0,0,0,0,0
"за оперативность, спасибо большое",5.0,0,0,0,0,0,1,0,0,0
"огромное спасибо, специалистам!",5.0,0,0,0,0,1,0,0,0,0
электрик все отлично объяснил и помог устранить проблему. очень профессионально. молодец.,5.0,0,1,0,0,1,0,1,1,0
"хоть фото не этого места, но подтверждаю что работа выполнена и главное выполнена оперативно.",5.0,0,1,0,0,0,1,0,0,0
"было бы удобнее, если сразу дали ссылку или название раздела, где эту заявку оформить. потому что в приложении очень неудобно искать, где подать эту заявку. чёрт ногу сломит",5.0,0,0,0,0,0,0,0,0,1
спасибо! оперативно получены по электронной почте.,5.0,0,0,0,0,0,1,0,0,0
благодарю за быстрый ответ,5.0,0,0,0,0,0,1,0,0,0
большое спасибо за оперативную работу!!!,5.0,0,0,0,0,0,1,0,0,0
моя ошибка,5.0,0,1,0,0,0,0,0,0,0
"оперативно, большое спасибо",5.0,0,0,0,0,0,1,0,0,0
"зеркало не было подключено к проводке пои замене в прошлом году, что теперь делать не известно? заведу новую заявку на замену зеркала",5.0,1,0,0,1,0,0,0,0,0
"очень оперативно, спасибо большое!",5.0,0,0,0,0,0,1,0,0,0
"прошу  перенести урну от подъезда, чтобы у людей не было собоазна поставить туда свой бытовой мусор",5.0,0,0,0,0,0,0,0,0,1
электрик справился с проблемой за 5минут молодец,5.0,0,0,0,0,1,1,0,0,0
очень оперативно решили проблему и восстановили освещение в холле.,5.0,0,1,0,0,0,1,0,0,0
большое спасибо быстро исправили,5.0,0,1,0,0,0,1,0,0,0
лифт работает,5.0,0,1,0,0,0,0,0,0,0
большое спасибо очень быстро исправили,5.0,0,1,0,0,0,1,0,0,0
ответ получен на один вопрос из двух. второй вопрос просто проигнорирован,5.0,1,0,0,0,0,0,0,0,0
"замечательный сантехник , который правда помогает,очень приятный и воспитанный мужчина",5.0,0,0,0,0,1,0,1,0,0
больше спасибо! всё работает.,5.0,0,0,0,0,0,0,0,1,0
ничего не выполнено не пишите х......!!!!!!! подобный бардак как в ук пригорода вижу впервые!,5.0,1,0,0,0,0,0,0,0,1
спасибо большое электрику  сложенные руки (молитва или благодарность),5.0,0,0,0,0,1,0,0,0,0
сделанно не аккуратно.торчат резинки .,5.0,0,0,1,0,0,0,0,0,0
подача тепла возобновилась в короткие сроки,5.0,0,1,0,0,0,1,0,0,0
благодарю за оперативность проведённой работы!,5.0,0,0,0,0,0,1,0,0,0
прогресс,5.0,0,0,0,0,0,0,1,0,0
оперативно проведена консультация и проблема была устранена. огромное спасибо.,5.0,0,1,0,0,0,1,0,0,0
спасибо большое. оперативно устранили течь по стояку в ванной.,5.0,0,1,0,0,0,1,0,0,0
"сумма, которую я должна заплатить за коммунальные услуги сохранилась (34 384,14 рублей). когда данная сумма уменьшится на перенесенную (7 413,53 рублей)и",5.0,1,0,0,0,0,0,0,0,1
какой акт выполненных работ мы должны предоставить?ремонт делали сами....,5.0,1,0,0,0,0,0,0,0,1
спасибо вам огромное!!!!,5.0,0,1,0,0,0,0,0,0,0
"я звонила и сообщила, что мне нужен перерасчет, так как в декабре прошло 3 оплаты на сумму больше 30000,  3 оплаты",5.0,1,0,0,0,0,0,0,0,1
спасибо за оперативность  красное сердце,5.0,0,0,0,0,0,1,0,0,0
"спасибо, за быструю реакцию и решение проблемы",5.0,0,1,0,0,0,1,0,0,0
"быстро отреагировали, спасибо",5.0,0,0,0,0,0,1,0,0,0
спасибо огромное!,5.0,0,1,0,0,0,0,0,0,0
а можно фото акта скинуть ?,5.0,1,0,0,0,0,0,0,0,1
"спасибо валерию. все сделал хорошо. маленький минус, что долго шли. была бы течь более сильной, то за 2,5 часа ... но я думаю, что это проблема обработки заявки. ему не сразу передали! примите во внимание. плохо, что нет прямого аварийного телефона непосредственно в живи в рыбацком. звонишь через десятые руки...",5.0,0,1,0,0,1,0,1,0,1
отлично! так бы по всем сервисам исполнялось бы. чётко и быстро.,5.0,0,1,0,0,0,1,1,1,0
"очень отзывчивый, профи своего дела!!",5.0,0,0,0,0,1,0,1,0,0
"очень удобный сервис, но пока ещё выясняем",5.0,0,0,0,0,0,0,1,0,0
"за ноябрь оплата была, куда могу выслать подтверждающие документы ?",5.0,1,0,0,0,0,0,0,0,1
"спасибо, игорь!",5.0,0,0,0,0,1,0,0,0,0
"спасибо большое, все сделали отлично!",5.0,0,1,0,0,0,0,0,1,0
супер быстро,5.0,0,0,0,0,0,1,0,0,0
"всё убрали, спасибо",5.0,0,0,0,0,0,0,0,1,0
"качественно,быстро",5.0,0,0,0,0,0,1,1,0,0
установили быстро и хорошо). спасибо.,5.0,0,0,0,0,0,1,1,0,0
"все отлично, спасибо",5.0,0,1,0,0,1,1,1,1,0
спасибо что так быстро починили дверь,5.0,0,1,0,0,0,1,0,0,0
очень понравилась работа игоря.,5.0,0,0,0,0,1,0,0,0,0
отлично!!!! быстро отреагировали. всё работает!!!!!!,5.0,0,1,0,0,0,1,0,0,0
"сделано, спасибо",5.0,0,1,0,0,0,0,0,0,0
"заявка не выполнена, грязи на дороге еще больше",5.0,1,0,0,0,0,0,0,0,1
электрик молодец!,5.0,0,0,0,0,1,0,0,0,0
спасибо технику дмитрию за помощь!,5.0,0,0,0,0,1,0,0,0,0
"выражаю огромную благодарность мастеру -электрику за проделанную работу. профессионал своего дела, щепетильно проверил все возможные варианты неполадок, нашел и устранил причину замыкания. еще раз большое спасибо!",5.0,0,1,0,0,1,0,1,1,0
молодцы! аплодисменты,5.0,0,0,0,0,0,0,0,1,0
"отрегулировали оперативно, вопрос решён. но очень дорого, когда регулировка равна половине стоимости регулятора давления воды.",5.0,0,1,0,0,0,1,0,0,0
спасибо за оперативность. сотрудник устранил проблему.,5.0,0,1,0,0,0,1,0,0,0
"спасибо. значит с гулом в трубах, можно бороться. действительно стало тихо. если проблема возникнет опять будет много заявок.",5.0,0,1,0,0,0,0,0,1,0
потрясающий сантехник! спасибо  улыбающееся лицо,5.0,0,0,0,0,1,0,0,0,0
"отлично, спасибо.",5.0,0,0,0,0,0,0,0,1,0
"все отлично, спасибо!",5.0,0,0,0,0,0,0,0,1,0
спасибо оперативно починили  палец вверх,5.0,0,1,0,0,0,1,0,0,0
"спасибо, все работало до вчерашнего дня",5.0,0,1,0,0,0,0,0,0,0
"спасибо, вы прекрасны!",5.0,0,1,0,0,1,0,0,0,0
cспасибо!,5.0,0,1,0,0,0,0,0,0,0
спасибо инженеру быстро и оперативно работает. хоть кто-то в этой компании ответственный человек.,5.0,0,0,0,0,1,1,0,0,0
в личном кабинете так  указан  не верный счетчик с неверными показаниями.,5.0,1,0,0,0,0,0,0,0,0
выдайте александру премию!,5.0,0,0,0,0,1,0,0,0,0
большое спасибо.. оперативно подкл  электричество !,5.0,0,0,0,0,0,1,0,0,0
молодцы. спасибо!,5.0,0,0,0,0,0,0,0,1,0
"может ли быть причиной срабатывания пожарной сигнализации курение в квартире? регулярно слышу запах сигарет, который проникает в квартиру по вентиляции",5.0,0,1,0,0,0,0,0,0,0
"спасибо, игорь",5.0,0,0,0,0,1,0,0,0,0
"супер оперативно, спасибо)",5.0,0,0,0,0,0,1,0,0,0
"все отлично, оперативно, спасибо.",5.0,0,0,0,0,0,1,0,1,0
откликнулись быстро оперативно,5.0,0,0,0,0,0,1,0,0,0
теперь всё в норме!)) палец вверх,5.0,0,0,0,0,0,0,0,1,0
спасибо за оперативное реагирование,5.0,0,0,0,0,0,1,0,0,0
"спасибо,что стараетесь исправить быстро)))но увы…",5.0,0,0,1,1,0,1,0,0,0
"устранено, спасибо!",5.0,0,1,0,0,0,0,0,0,0
"благодарю, что наконец то устранили проблему.",5.0,0,1,0,0,0,0,0,0,1
пришли очень быстро!,5.0,0,0,0,0,0,1,0,0,0
спасибо! ответ был предоставлен оперативно  рукопожатие,5.0,0,1,0,0,0,1,0,0,0
"работа выполнена быстро, проблема решена",5.0,0,1,0,0,0,1,0,0,0
общий корридор на площадке 3 этажа не убран.есть камера видеонаблюдения,5.0,1,0,1,1,0,0,0,0,1
спасибо за исправление,5.0,0,1,0,0,0,0,0,0,0
"быстро оформили заявку, быстро пришли сантехники",5.0,0,1,0,0,0,1,0,0,0
"огромное спасибо , мастеру за профессионализм",5.0,0,0,0,0,1,0,1,0,0
быстро выполнили заявку,5.0,0,1,0,0,0,1,0,0,0
"очень быстро, очень приятные люди.",5.0,0,0,0,0,1,1,0,0,0
все отлично   палец вверх,5.0,0,0,0,0,0,0,0,1,0
отреагировали быстро и устранили неисправность,5.0,0,1,0,0,0,1,0,0,0
"фасад очистили, а виновника искать не стали",5.0,0,1,1,0,0,0,0,0,1
"очень благодарна, компетентному сотруднику и грамотному разъяснению моего вопроса!",5.0,0,1,0,0,1,0,1,0,0
все исправили. спасибо,5.0,0,1,0,0,0,0,0,0,0
"спасибо, все четко и быстро!!!",5.0,0,0,0,0,0,1,1,0,0
отзывчивые девочки!решили проблему быстро!очень довольна!,5.0,0,1,0,0,1,1,0,1,0
"огромное спасибо, за молниеносное решение проблемы.",5.0,0,1,0,0,0,1,0,0,0
"пломбы сорваны, шкафы на распашку, в прошлый раз шланги украли",5.0,0,0,0,0,0,0,0,0,1
"ольга, когда парковку достроят?",5.0,0,0,0,0,0,0,0,0,1
девочки просто молодцы!!!))),5.0,0,0,0,0,1,0,0,0,0
очень оперативно. спасибо!,5.0,0,0,0,0,0,1,0,0,0
" красное сердце красное сердце красное сердце живу тут не долго но пока что вы лучшая ук, спасибо за быстрое регирование на проблемы, хорошего дня",5.0,0,1,0,0,0,1,0,0,0
"ребята молодцы, спасибо огромное , все устранили  сложенные руки (молитва или благодарность)",5.0,0,1,0,0,1,0,0,0,0
"проблема повторяется очень часто. вопрос не решается, не устраняется причина остановки лифтов практически каждый день. ездить в лифте небезопасно",5.0,1,0,0,0,0,0,0,0,1
"спасибо, что устранили течь! было бы ещё приятней, если бы не пришлось ругаться (особенно с сантехником )и ждать сутки пока отключат воду и начнут что-то предпринимать.",5.0,0,1,0,0,0,0,0,0,1
"выяснили причину , пришел отличный мастер , сделал все за 2 минуты  руки в форме сердца",5.0,0,1,0,0,1,1,0,0,0
много времени прошло с момента обращения,5.0,0,0,0,0,0,0,0,0,1
отличный мастер на 10 с плюсом,5.0,0,0,0,0,1,0,0,0,0
"супруга с ребенком к соседям зашли,так как света не было. спасибо",5.0,0,1,0,0,0,0,0,0,0
спасибо. оперативно,5.0,0,0,0,0,0,1,0,0,0
все починили,5.0,0,1,0,0,0,0,0,0,0
все ясно  палец вверх,5.0,0,1,0,0,0,0,0,0,0
все понятно,5.0,0,1,0,0,0,0,0,0,0
"пришел очень хороший мужчина , все объяснил как нужно сделать .",5.0,0,1,0,0,1,0,1,0,0
"перевели окна на зимний режим. дуть стало немного меньше, но не перестало. составили акт, сказали, что передадут застройщику",5.0,0,1,0,1,0,0,0,0,0
да выполнена. благодарю за оперативность  палец вверх,5.0,0,1,0,0,0,1,0,0,0
"здравствуйте, была услышана специалистом, проблема решена в теч. 1-ой минуты, срасибо",5.0,0,1,0,0,0,1,0,0,0
"очень профессиональный компетентный сотрудник! вежливый и грамотный, помог решить все вопросы по заявке!",5.0,0,1,0,0,1,0,1,0,0
"в квартире никто не проживает, счётчик электроэнергии в квартире отключён, сам нахожусь в другом регионе, возможности разобраться с утречком электроэнергии нет! просьба подробнее помочь разобраться в решении проблемы!",5.0,1,0,0,0,0,0,0,0,1
со мной никто не связался и никто не снял показания,5.0,1,0,0,0,0,0,0,0,0
все быстро исправили,5.0,0,1,0,0,0,1,0,0,0
никто не приходил,5.0,1,0,0,0,0,0,0,0,0
спасибо большое специалистам.,5.0,0,0,0,0,1,0,0,0,0
"отличный мастер, благодарю за выполненную работу!",5.0,0,1,0,0,1,0,0,1,0
"очень хороший мастер, знает свое дело",5.0,0,0,0,0,1,0,1,1,0
"отлично, быстро",5.0,0,0,0,0,0,1,0,1,0
"отличный мастер,приехал быстро палец вверх рукопожатие",5.0,0,0,0,0,1,1,0,0,0
"все супер ,спасибо -))))",5.0,0,0,0,0,0,0,0,1,0
быстро всё починили.спасибо.,5.0,0,1,0,0,0,1,0,0,0
"благодарю за оперативное выполнение заявки. я приятно удивлён. с момента подачи заявки, до выхода мастера прошло менее 40 минут точка так держать спасибо",5.0,0,1,0,0,0,1,0,0,0
"спасибо, все быстро и качественно",5.0,0,0,0,0,0,1,1,0,0
"мастер пришел,установил доводчик,был доброжелателен. спасибо !!!",5.0,0,1,0,0,1,0,0,0,0
оперативное решение вопроса.,5.0,0,1,0,0,0,1,0,0,0
"выполнил работу на совесть, надеюсь, проблем дальше не возникнет.",5.0,0,1,0,0,0,0,1,1,0
мастер очень быстро пришел и включил электричество  палец вверх (светлая кожа),5.0,0,1,0,0,0,1,0,0,0
"все отлично, татьяне большое спасибо, оперативно помогла решить проблему",5.0,0,1,0,0,1,1,0,0,0
проблема пока не решена. рано оценивать,5.0,1,0,0,0,0,0,0,0,0
сергей самый адекватный сантехник нашего жк! спасибо!,5.0,0,0,0,0,1,0,0,0,0
спасибо! очень быстро! :),5.0,0,1,0,0,0,1,0,0,0
жду справку об отсутствии задолженности. показания счётчиков передала,5.0,0,0,0,0,0,0,0,0,1
всё замечательно,5.0,0,0,0,0,0,0,0,1,0
отлично и быстро,5.0,0,0,0,0,0,1,1,1,0
быстро! качественно! спасибо!,5.0,0,0,0,0,0,1,1,0,0
спасибо большое. все супер,5.0,0,0,0,0,0,0,0,1,0
"валерия куликова добрый день, павел артемович лишние счётчики из приложения убрали. показания по фото внесли. если данные неверных счётчиков снова отобразятся, просим вас создать новую заявку, направим в службу поддержки. 20:29 опять отображаются лишние счётчики!",5.0,0,1,0,0,1,0,0,0,0
спасибо елена!,5.0,0,0,0,0,1,0,0,0,0
"огромное спасибо антону за проделанную работу. все четко, аккуратно! выпишите сотруднику премию за ответственное отношение к работе!",5.0,0,0,0,0,1,0,1,1,0
спасибо всё поняла.,5.0,0,1,0,0,0,0,0,0,0
ок палец вверх,5.0,0,1,0,0,0,0,0,0,0
"не понимаю вас. не оплачивать коммунальные? при чем тут собственник? я мама, лплачиваю счета сына и свои. как возможно в этот личный кабинет подключить квартиру 97 садовая 85? это необходимо для оплаты счетов только.  фамилии разные у нас. каким образом получать счета?",5.0,1,0,0,0,0,0,0,0,1
умница !!!,5.0,0,0,0,0,1,0,0,0,0
спасибо большое ребятам сделали все хорошо посмотрим как будет в дальнейшем вести себя труба а так все отлично,5.0,0,0,0,0,1,0,1,1,0
быстро и качественно спасибо большое,5.0,0,0,0,0,0,1,1,0,0
"очень хороший сотрудник. помогла установить приложение ключ, объяснили как работает приложение, сделали три ключа. доброжелательное отношение, всё оперативно.",5.0,0,1,0,0,1,1,1,1,0
